City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,clarksdale,34.2001,-90.5709,13.99,81,100,3.09,US,1707012056
295,fale old settlement,-9.3852,-171.2468,28.12,80,100,9.09,TK,1707012174
296,zambezi,-13.5432,23.1047,18.23,97,100,1.62,ZM,1707012174
297,nouna,12.7333,-3.8667,22.49,17,21,3.44,BF,1707012174
298,nagqu,31.5,92.0,-6.65,21,72,8.15,CN,1707012174
299,vila franca do campo,37.7167,-25.4333,18.27,99,85,3.74,PT,1707012175
300,hami,42.8,93.45,-5.5,62,5,1.99,CN,1707012175
301,cole harbour,44.6724,-63.4751,-3.29,89,100,7.15,CA,1707012175
302,kyren,51.6828,102.1408,-11.7,79,100,0.45,RU,1707012175
303,cidreira,-30.1811,-50.2056,23.88,88,100,7.49,BR,1707012119
304,thakhek,17.4103,104.8307,25.06,62,76,1.85,LA,1707012175
305,areado,-21.3586,-46.1456,19.87,85,100,1.3,BR,1707012175
306,ulladulla,-35.35,150.4667,35.43,38,99,4.06,AU,1707012175
307,betong,5.7743,101.0723,26.64,67,47,0.76,TH,1707012176
308,tartouss,34.889,35.8866,13.45,80,67,4.7,SY,1707012176
309,garissa,-0.4536,39.6401,26.28,70,58,4.04,KE,1707012176
310,polyarnyy,69.1989,33.4478,-6.02,85,100,9.82,RU,1707012176
311,tobol'sk,58.2,68.2667,-16.33,94,100,4.92,RU,1707012176
312,fort-shevchenko,44.5086,50.263,2.44,86,100,4.61,KZ,1707012176
313,krasnyy oktyabr',56.1167,38.8833,-3.7,96,100,3.63,RU,1707012176
314,kyabe,9.4515,18.9449,23.13,21,38,2.35,TD,1707012177
315,putnok,48.3,20.4333,7.09,81,100,4.84,HU,1707012177
316,dolinsk,47.35,142.8,-10.71,77,27,1.85,RU,1707012177
317,bowen,-20.0167,148.2333,29.72,59,99,5.28,AU,1707012177
318,dadukou,26.5479,101.7054,10.81,54,0,0.72,CN,1707012177
319,kapuskasing,49.4169,-82.4331,-2.95,93,0,1.03,CA,1707012177
320,jakar,27.5492,90.7525,1.88,68,59,0.27,BT,1707012177
321,ust'-ordynskiy,52.805,104.7508,-19.26,90,100,1.37,RU,1707012177
322,la foa,-21.7108,165.8276,26.77,89,100,3.07,NC,1707012178
323,natal,-5.795,-35.2094,27.12,78,20,3.09,BR,1707012018
324,hadibu,12.65,54.0333,24.0,78,72,4.21,YE,1707012178
325,mount pearl,47.5166,-52.7813,-1.14,91,100,7.72,CA,1707012178
326,hinton,53.4001,-117.5857,-2.76,83,100,1.48,CA,1707012178
327,martuk,50.7475,56.5056,-5.71,93,100,5.77,KZ,1707012178
328,anchorage,61.2181,-149.9003,-11.75,78,75,4.92,US,1707012005
329,mawlamyinegyunn,16.3833,95.2667,23.53,57,2,4.04,MM,1707012179
330,quellon,-43.1167,-73.6167,12.02,67,94,1.4,CL,1707012179
331,levanger,63.7464,11.2996,0.03,69,100,8.42,NO,1707012179
332,xiaoweizhai,26.1903,107.5125,2.31,94,100,2.4,CN,1707012179
333,sao joao da barra,-21.6403,-41.0511,25.1,89,100,3.62,BR,1707012179
334,kermanshah,34.3142,47.065,-2.5,80,0,3.09,IR,1707012179
335,guerrero negro,27.9769,-114.0611,15.51,65,0,5.96,MX,1707012180
336,acapulco de juarez,16.8634,-99.8901,24.71,77,3,4.8,MX,1707011926
337,kurgan,55.45,65.3333,-6.7,97,100,2.24,RU,1707012180
338,kas,36.2018,29.6377,10.51,72,12,2.97,TR,1707012180
339,tolanaro,-25.0319,46.9987,24.04,83,20,9.26,MG,1707012180
340,olovyannaya,50.95,115.5667,-26.07,97,43,0.58,RU,1707012180
341,la'ie,21.6477,-157.9253,23.89,63,29,6.26,US,1707012180
342,fort mcmurray,56.7268,-111.381,-7.23,92,0,2.57,CA,1707011996
343,erzurum,40.0,41.5,-13.18,96,100,2.04,TR,1707012181
344,xining,36.6167,101.7667,-8.83,62,100,0.93,CN,1707012181
345,seydi,39.4816,62.9137,-0.14,54,7,1.81,TM,1707012181
346,faya-largeau,17.9257,19.1043,13.89,26,2,10.57,TD,1707012181
347,bikenibeu village,1.3673,173.1241,31.98,79,75,4.12,KI,1707012181
348,happy valley-goose bay,53.3168,-60.3315,-23.83,77,20,2.06,CA,1707012181
349,howrah,22.5892,88.3103,18.0,88,0,0.0,IN,1707012182
350,tuburan,6.6439,122.2736,28.05,75,44,0.96,PH,1707012182
351,ataq,14.5377,46.8319,16.59,80,12,0.31,YE,1707012182
352,torghay,49.6339,63.4981,-5.94,93,63,5.23,KZ,1707012182
353,katsuura,35.1333,140.3,7.24,92,100,6.13,JP,1707012182
354,kenai,60.5544,-151.2583,-16.59,82,100,6.17,US,1707012182
355,alice springs,-23.7,133.8833,33.75,21,100,4.12,AU,1707012183
356,villa mercedes,-33.6757,-65.4578,25.74,29,0,5.54,AR,1707012183
357,ouargla,31.9493,5.325,7.04,65,0,2.06,DZ,1707012183
358,remire-montjoly,4.9167,-52.2667,26.02,94,0,1.03,GF,1707012183
359,opuwo,-18.0607,13.84,20.23,88,100,1.05,NA,1707012183
360,al lagowa,11.4,29.1333,18.8,18,47,5.46,SD,1707012184
